Employee_ID,Risk_Score_%,Action_Priority
15469,93.26,CRITICAL (Immediate Retention Interview)
15588,91.65,CRITICAL (Immediate Retention Interview)
13149,91.2,CRITICAL (Immediate Retention Interview)
13872,90.45,CRITICAL (Immediate Retention Interview)
13999,90.01,CRITICAL (Immediate Retention Interview)
15112,89.95,CRITICAL (Immediate Retention Interview)
15523,89.95,CRITICAL (Immediate Retention Interview)
13716,89.4,CRITICAL (Immediate Retention Interview)
13204,89.03,CRITICAL (Immediate Retention Interview)
12865,88.95,CRITICAL (Immediate Retention Interview)
15153,88.74,CRITICAL (Immediate Retention Interview)
15262,88.38,CRITICAL (Immediate Retention Interview)
15317,88.32,CRITICAL (Immediate Retention Interview)
13874,88.3,CRITICAL (Immediate Retention Interview)
12690,88.25,CRITICAL (Immediate Retention Interview)
13087,88.24,CRITICAL (Immediate Retention Interview)
13534,88.24,CRITICAL (Immediate Retention Interview)
15160,88.2,CRITICAL (Immediate Retention Interview)
14180,88.15,CRITICAL (Immediate Retention Interview)
12681,88.0,CRITICAL (Immediate Retention Interview)
13266,87.81,CRITICAL (Immediate Retention Interview)
12772,87.79,CRITICAL (Immediate Retention Interview)
12767,87.74,CRITICAL (Immediate Retention Interview)
14624,87.73,CRITICAL (Immediate Retention Interview)
13582,87.72,CRITICAL (Immediate Retention Interview)
12446,87.68,CRITICAL (Immediate Retention Interview)
14843,87.57,CRITICAL (Immediate Retention Interview)
14220,87.5,CRITICAL (Immediate Retention Interview)
13508,87.46,CRITICAL (Immediate Retention Interview)
15186,87.43,CRITICAL (Immediate Retention Interview)
14832,87.36,CRITICAL (Immediate Retention Interview)
14920,87.32,CRITICAL (Immediate Retention Interview)
15310,87.26,CRITICAL (Immediate Retention Interview)
12801,87.26,CRITICAL (Immediate Retention Interview)
12931,87.22,CRITICAL (Immediate Retention Interview)
15440,87.06,CRITICAL (Immediate Retention Interview)
13196,87.05,CRITICAL (Immediate Retention Interview)
12954,86.87,CRITICAL (Immediate Retention Interview)
13283,86.74,CRITICAL (Immediate Retention Interview)
13139,86.67,CRITICAL (Immediate Retention Interview)
13013,86.56,CRITICAL (Immediate Retention Interview)
14638,86.49,CRITICAL (Immediate Retention Interview)
